#Column	separation	(F9.2)	Distance from master source to center of cone search	(.separation)	["arcsec"]	[pos.angDistance]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	err_ellipse_r0	(F7.2)	Major radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[]
#Column	err_ellipse_r1	(F9.2)	Minor radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r1)	["arcsec"]	[]
#Column	err_ellipse_ang	(F9.1)	Position angle (ref. local true north) of the major axis of the 95% confidence level error ellipse	(master_source.err_ellipse_ang)	["deg"]	[]
#Column	significance	(F9.2)	Highest flux significance (S/N) across all stacked observations and energy bands	(master_source.significance)	[""]	[]
#Column	likelihood_class	(A20)	Highest detection likelihood classification across all stacked observations and energy bands	(master_source.likelihood_class)	[""]	[]
#Column	conf_flag	(A5)	Source may be confused (source and/or background regions overlap in one or more contributing stacked observations)	(master_source.conf_flag)	[""]	[]
#Column	sat_src_flag	(A5)	Source is saturated in all observations; source properties are unreliable	(master_source.sat_src_flag)	[""]	[]
#Column	streak_src_flag	(A5)	Source is located on an ACIS readout streak in all observations; source properties may be affected	(master_source.streak_src_flag)	[""]	[]
#Column	flux_aper_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_lolim_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_hilim_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_w)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_lolim_w)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_hilim_w)	["erg/s/cm^2"]	[]
separation	name	ra	dec	err_ellipse_r0	err_ellipse_r1	err_ellipse_ang	significance	likelihood_class	conf_flag	sat_src_flag	streak_src_flag	flux_aper_b	flux_aper_lolim_b	flux_aper_hilim_b	flux_aper_w	flux_aper_lolim_w	flux_aper_hilim_w
     0.96	 2CXO J095552.2+694047	 09 55 52.26	+69 40 47.25	   0.48	     0.42	     75.5	    17.29	                TRUE	 TRUE	FALSE	FALSE	1.013e-14	8.061e-15	1.209e-14	         	         	         
     1.53	 2CXO J095552.4+694048	 09 55 52.43	+69 40 48.46	   0.30	     0.30	     28.9	    16.77	                TRUE	 TRUE	FALSE	FALSE	3.695e-14	3.368e-14	4.022e-14	         	         	         
     1.93	 2CXO J095552.7+694045	 09 55 52.73	+69 40 45.77	   0.29	     0.29	    178.2	    34.97	                TRUE	 TRUE	FALSE	FALSE	1.261e-13	1.232e-13	1.288e-13	         	         	         
     2.49	 2CXO J095552.0+694045	 09 55 52.05	+69 40 45.39	   0.31	     0.30	     19.3	    21.69	                TRUE	 TRUE	FALSE	FALSE	2.798e-14	2.476e-14	3.099e-14	         	         	         
     3.37	 2CXO J095552.3+694043	 09 55 52.33	+69 40 43.61	   0.29	     0.29	      0.0	    27.23	                TRUE	 TRUE	FALSE	FALSE	1.961e-14	1.773e-14	2.149e-14	         	         	         
     4.05	 2CXO J095552.1+694043	 09 55 52.13	+69 40 43.18	   0.30	     0.30	      0.0	    22.76	                TRUE	 TRUE	FALSE	FALSE	         	         	         	         	         	         
     4.18	 2CXO J095553.1+694048	 09 55 53.18	+69 40 48.40	   0.30	     0.29	      7.0	    26.81	                TRUE	 TRUE	FALSE	FALSE	7.139e-14	6.858e-14	7.404e-14	         	         	         
     4.54	 2CXO J095551.5+694045	 09 55 51.58	+69 40 45.84	   0.31	     0.30	     21.2	    57.26	                TRUE	 TRUE	FALSE	FALSE	3.655e-14	3.282e-14	4.028e-14	         	         	         
     4.65	 2CXO J095551.9+694043	 09 55 51.92	+69 40 43.09	   0.30	     0.30	      0.0	    23.01	                TRUE	 TRUE	FALSE	FALSE	         	         	         	         	         	         
     5.42	 2CXO J095552.2+694041	 09 55 52.23	+69 40 41.61	   0.30	     0.30	      0.0	    15.81	                TRUE	 TRUE	FALSE	FALSE	1.007e-14	8.523e-15	1.153e-14	         	         	         
     5.81	 2CXO J095551.8+694051	 09 55 51.83	+69 40 51.82	   0.30	     0.29	     65.7	    22.20	                TRUE	 TRUE	FALSE	FALSE	6.296e-15	4.801e-15	7.713e-15	         	         	         
     6.75	 2CXO J095551.2+694043	 09 55 51.28	+69 40 43.88	   0.29	     0.29	      0.0	    89.60	                TRUE	 TRUE	FALSE	FALSE	2.485e-12	2.456e-12	2.512e-12	         	         	         
     6.94	 2CXO J095553.0+694053	 09 55 53.04	+69 40 53.09	   0.30	     0.30	      0.0	    19.81	                TRUE	 TRUE	FALSE	FALSE	4.203e-14	3.941e-14	4.465e-14	         	         	         
     7.80	 2CXO J095551.1+694050	 09 55 51.10	+69 40 50.56	   0.30	     0.30	      0.0	    12.64	                TRUE	 TRUE	FALSE	FALSE	1.087e-14	8.253e-15	1.348e-14	         	         	         
     7.83	 2CXO J095550.9+694045	 09 55 50.97	+69 40 45.10	   0.29	     0.29	     80.9	   130.76	                TRUE	 TRUE	FALSE	FALSE	8.424e-14	7.859e-14	8.948e-14	         	         	         
     8.25	 2CXO J095553.8+694050	 09 55 53.84	+69 40 50.73	   0.29	     0.29	     55.2	    20.63	                TRUE	 TRUE	FALSE	FALSE	         	         	         	         	         	         
     9.20	 2CXO J095552.9+694038	 09 55 52.99	+69 40 38.21	   0.30	     0.30	      0.0	     4.39	                TRUE	 TRUE	FALSE	FALSE	3.116e-15	2.062e-15	4.171e-15	         	         	         
     9.53	 2CXO J095550.7+694043	 09 55 50.71	+69 40 43.70	   0.29	     0.29	      0.0	    94.47	                TRUE	 TRUE	FALSE	FALSE	2.347e-13	2.282e-13	2.413e-13	         	         	         
    10.63	 2CXO J095550.8+694040	 09 55 50.87	+69 40 40.06	   0.29	     0.29	      0.0	    26.02	                TRUE	 TRUE	FALSE	FALSE	6.131e-14	5.816e-14	6.445e-14	         	         	         
    11.18	 2CXO J095554.1+694053	 09 55 54.16	+69 40 53.52	   0.34	     0.32	     17.3	     1.60	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	3.265e-16	         	         	         
    11.39	 2CXO J095550.2+694045	 09 55 50.26	+69 40 45.60	   0.29	     0.29	      0.0	   139.16	                TRUE	 TRUE	FALSE	FALSE	4.958e-13	4.868e-13	5.049e-13	         	         	         
    11.56	 2CXO J095554.4+694051	 09 55 54.48	+69 40 51.32	   0.33	     0.32	    114.0	     2.80	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.320e-15	         	         	         
    11.58	 2CXO J095554.1+694039	 09 55 54.17	+69 40 39.72	   0.29	     0.29	     90.8	    48.71	                TRUE	 TRUE	FALSE	FALSE	4.674e-13	4.588e-13	4.760e-13	         	         	         
    11.91	 2CXO J095550.1+694046	 09 55 50.15	+69 40 46.18	   0.29	     0.29	      0.0	   141.18	                TRUE	 TRUE	FALSE	FALSE	6.158e-13	5.816e-13	6.480e-13	         	         	         
    11.99	 2CXO J095551.4+694036	 09 55 51.48	+69 40 36.01	   0.29	     0.29	     53.9	    44.93	                TRUE	 TRUE	FALSE	FALSE	2.852e-13	2.798e-13	2.903e-13	         	         	         
    12.48	 2CXO J095550.1+694043	 09 55 50.12	+69 40 43.66	   0.39	     0.36	     19.9	   128.83	                TRUE	 TRUE	FALSE	FALSE	2.002e-14	1.709e-14	2.278e-14	         	         	         
    12.57	 2CXO J095554.7+694043	 09 55 54.76	+69 40 43.74	   0.31	     0.30	     43.9	    19.44	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.116e-15	         	         	         
    13.03	 2CXO J095553.6+694058	 09 55 53.65	+69 40 58.31	   0.30	     0.30	     43.5	     7.75	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	4.788e-16	         	         	         
    13.07	 2CXO J095549.9+694045	 09 55 49.93	+69 40 45.79	   0.29	     0.29	      0.0	   139.75	                TRUE	 TRUE	FALSE	FALSE	1.909e-13	1.835e-13	1.982e-13	         	         	         
    13.67	 2CXO J095550.3+694038	 09 55 50.31	+69 40 38.91	   0.29	     0.29	      0.0	    28.33	                TRUE	 TRUE	FALSE	FALSE	9.712e-15	8.082e-15	1.125e-14	         	         	         
    13.95	 2CXO J095554.7+694053	 09 55 54.74	+69 40 53.97	   0.30	     0.30	     92.8	     7.97	                TRUE	 TRUE	FALSE	FALSE	6.159e-15	5.033e-15	7.284e-15	         	         	         
    14.85	 2CXO J095550.7+694034	 09 55 50.75	+69 40 34.94	   0.32	     0.30	     39.6	    24.03	                TRUE	 TRUE	FALSE	FALSE	6.205e-14	5.951e-14	6.458e-14	         	         	         
    15.09	 2CXO J095550.3+694036	 09 55 50.34	+69 40 36.47	   0.29	     0.29	     55.1	    39.97	                TRUE	 TRUE	FALSE	FALSE	1.824e-13	1.777e-13	1.868e-13	         	         	         
    15.68	 2CXO J095555.0+694054	 09 55 55.05	+69 40 54.66	   0.31	     0.31	     97.1	     7.88	                TRUE	 TRUE	FALSE	FALSE	4.074e-15	3.157e-15	4.990e-15	         	         	         
    15.83	 2CXO J095553.3+694101	 09 55 53.40	+69 41 01.93	   0.29	     0.29	     12.7	    14.17	                TRUE	 TRUE	FALSE	FALSE	4.651e-14	4.475e-14	4.826e-14	         	         	         
    15.93	 2CXO J095549.4+694043	 09 55 49.44	+69 40 43.67	   0.29	     0.29	     44.7	    24.13	                TRUE	 TRUE	FALSE	FALSE	3.654e-14	3.269e-14	4.039e-14	         	         	         
    16.93	 2CXO J095555.4+694053	 09 55 55.46	+69 40 53.02	   0.35	     0.32	    114.8	     1.83	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	2.039e-15	         	         	         
    17.21	 2CXO J095550.1+694034	 09 55 50.15	+69 40 34.45	   0.30	     0.30	      0.0	    20.96	                TRUE	 TRUE	FALSE	FALSE	1.856e-14	1.707e-14	2.005e-14	         	         	         
    17.76	 2CXO J095555.7+694050	 09 55 55.77	+69 40 50.48	   0.53	     0.47	    115.3	     3.07	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	8.877e-16	         	         	         
    17.85	 2CXO J095550.4+694101	 09 55 50.49	+69 41 01.64	   0.29	     0.29	     10.9	    33.12	                TRUE	 TRUE	FALSE	FALSE	1.260e-13	1.224e-13	1.296e-13	         	         	         
    18.25	 2CXO J095554.6+694101	 09 55 54.65	+69 41 01.03	   0.29	     0.29	     91.4	    36.22	                TRUE	 TRUE	FALSE	FALSE	1.794e-13	1.738e-13	1.849e-13	         	         	         
    18.49	 2CXO J095553.2+694104	 09 55 53.21	+69 41 04.97	   0.37	     0.35	     46.8	     3.24	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	9.702e-16	         	         	         
    19.04	 2CXO J095548.8+694043	 09 55 48.83	+69 40 43.55	   0.30	     0.30	     43.3	     6.06	                TRUE	 TRUE	FALSE	FALSE	         	         	         	         	         	         
    19.89	 2CXO J095548.8+694039	 09 55 48.87	+69 40 39.75	   0.35	     0.34	     90.7	     2.09	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	7.459e-16	         	         	         
    20.80	 2CXO J095554.5+694029	 09 55 54.59	+69 40 29.44	   0.38	     0.38	      0.0	     4.50	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.600e-15	         	         	         
    21.23	 2CXO J095556.0+694056	 09 55 56.05	+69 40 56.69	   0.31	     0.31	    158.4	     6.90	                TRUE	 TRUE	FALSE	FALSE	8.739e-15	7.582e-15	9.896e-15	         	         	         
    22.48	 2CXO J095556.3+694056	 09 55 56.36	+69 40 56.21	   0.34	     0.33	    118.9	     4.71	                TRUE	 TRUE	FALSE	FALSE	1.525e-15	9.658e-16	2.084e-15	         	         	         
    23.39	 2CXO J095555.0+694028	 09 55 55.08	+69 40 28.04	   0.30	     0.30	     82.8	     8.31	                TRUE	 TRUE	FALSE	FALSE	1.219e-14	1.059e-14	1.370e-14	         	         	         
    23.75	 2CXO J095547.8+694049	 09 55 47.90	+69 40 49.58	   0.31	     0.31	      0.0	     8.68	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.119e-15	         	         	         
    23.77	 2CXO J095555.3+694105	 09 55 55.39	+69 41 05.02	   0.30	     0.30	     49.6	     9.25	                TRUE	 TRUE	FALSE	FALSE	2.472e-14	2.300e-14	2.633e-14	         	         	         
    23.84	 2CXO J095547.8+694043	 09 55 47.90	+69 40 43.63	   0.39	     0.35	    176.1	     3.33	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	7.482e-16	         	         	         
    25.02	 2CXO J095554.9+694025	 09 55 54.97	+69 40 25.68	   0.30	     0.30	      0.0	     9.31	                TRUE	 TRUE	FALSE	FALSE	9.605e-15	8.363e-15	1.076e-14	         	         	         
    25.37	 2CXO J095547.5+694049	 09 55 47.58	+69 40 49.15	   0.32	     0.32	      0.0	     5.76	                TRUE	 TRUE	FALSE	FALSE	2.955e-15	2.299e-15	3.612e-15	         	         	         
    25.74	 2CXO J095547.6+694041	 09 55 47.61	+69 40 41.23	   0.37	     0.34	     40.5	     3.29	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.935e-15	         	         	         
    26.84	 2CXO J095550.3+694022	 09 55 50.32	+69 40 22.44	   0.29	     0.29	     13.3	    20.46	                TRUE	 TRUE	FALSE	FALSE	5.085e-14	4.882e-14	5.277e-14	         	         	         
    26.94	 2CXO J095547.3+694052	 09 55 47.36	+69 40 52.13	   0.32	     0.32	      0.0	     7.09	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.129e-15	         	         	         
    28.17	 2CXO J095547.4+694036	 09 55 47.43	+69 40 36.19	   0.30	     0.29	     49.9	    19.13	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	4.300e-16	         	         	         
    28.81	 2CXO J095547.4+694059	 09 55 47.47	+69 40 59.71	   0.29	     0.29	     68.6	    22.07	                TRUE	 TRUE	FALSE	FALSE	7.185e-14	6.981e-14	7.377e-14	         	         	         
    31.11	 2CXO J095546.5+694040	 09 55 46.57	+69 40 40.88	   0.29	     0.29	      0.0	    90.13	                TRUE	 TRUE	FALSE	FALSE	2.756e-13	2.722e-13	2.791e-13	         	         	         
    31.37	 2CXO J095546.6+694037	 09 55 46.67	+69 40 37.82	   0.29	     0.29	     40.8	    26.31	                TRUE	 TRUE	FALSE	FALSE	1.022e-13	9.869e-14	1.055e-13	         	         	         
    38.51	 2CXO J095546.1+694026	 09 55 46.18	+69 40 26.32	   0.29	     0.29	     55.1	    20.36	                TRUE	 TRUE	FALSE	FALSE	5.098e-14	4.942e-14	5.244e-14	         	         	         
    41.13	 2CXO J095600.3+694046	 09 56 00.32	+69 40 46.06	   0.34	     0.33	     18.8	     3.49	                TRUE	 TRUE	FALSE	FALSE	1.902e-15	1.363e-15	2.409e-15	         	         	         
    43.04	 2CXO J095546.8+694118	 09 55 46.89	+69 41 18.85	   1.88	     1.11	    122.1	     8.59	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	6.244e-16	         	         	         
    43.62	 2CXO J095544.0+694045	 09 55 44.06	+69 40 45.17	   0.97	     0.60	    104.6	     6.35	                TRUE	 TRUE	FALSE	FALSE	         	         	         	         	         	         
    46.15	 2CXO J095601.0+694058	 09 56 01.01	+69 40 58.55	   0.43	     0.39	    108.7	     3.24	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	5.206e-16	         	         	         
    48.15	 2CXO J095600.7+694108	 09 56 00.74	+69 41 08.06	   0.30	     0.30	    146.2	     8.77	                TRUE	 TRUE	FALSE	FALSE	1.062e-14	9.836e-15	1.135e-14	         	         	         
    48.40	 2CXO J095543.1+694045	 09 55 43.15	+69 40 45.03	   1.36	     0.60	    103.7	     7.46	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	3.053e-16	         	         	         
    49.43	 2CXO J095601.4+694102	 09 56 01.42	+69 41 02.69	   0.41	     0.38	    156.0	     3.52	                TRUE	 TRUE	FALSE	FALSE	1.766e-15	1.325e-15	2.208e-15	         	         	         
    51.75	 2CXO J095542.8+694032	 09 55 42.87	+69 40 32.83	   0.30	     0.30	     53.8	     8.24	                TRUE	 TRUE	FALSE	FALSE	3.676e-15	3.162e-15	4.191e-15	         	         	         
    51.95	 2CXO J095553.4+693955	 09 55 53.41	+69 39 55.23	   0.30	     0.30	     70.1	    10.30	                TRUE	 TRUE	FALSE	FALSE	1.342e-14	1.203e-14	1.480e-14	         	         	         
    52.26	 2CXO J095601.3+694111	 09 56 01.32	+69 41 11.20	   0.29	     0.29	      0.0	    57.98	                TRUE	 TRUE	FALSE	FALSE	3.052e-13	2.999e-13	3.104e-13	         	         	         
    52.54	 2CXO J095546.9+694131	 09 55 46.98	+69 41 31.15	   0.87	     0.63	    132.8	     5.58	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.409e-16	         	         	         
    56.66	 2CXO J095546.4+694134	 09 55 46.42	+69 41 34.14	   1.57	     1.03	    125.1	     3.43	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	3.267e-16	         	         	         
    60.94	 2CXO J095546.6+694139	 09 55 46.61	+69 41 39.81	   0.63	     0.63	      0.0	     3.74	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	2.388e-16	         	         	         
    64.56	 2CXO J095544.2+693958	 09 55 44.23	+69 39 58.54	   0.37	     0.35	     65.6	     5.42	                TRUE	 TRUE	FALSE	FALSE	7.778e-15	6.755e-15	8.800e-15	         	         	         
    70.35	 2CXO J095553.0+694157	 09 55 53.04	+69 41 57.21	   2.06	     2.06	      0.0	     1.70	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.212e-16	         	         	         
    73.75	 2CXO J095549.9+693934	 09 55 49.97	+69 39 34.30	   0.29	     0.29	     71.8	    16.59	                TRUE	 TRUE	FALSE	FALSE	1.872e-14	1.775e-14	1.969e-14	         	         	         
    74.21	 2CXO J095541.7+693957	 09 55 41.76	+69 39 57.81	   1.22	     0.70	    158.5	     2.05	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.092e-16	         	         	         
    76.31	 2CXO J095537.9+694057	 09 55 37.92	+69 40 57.37	   0.31	     0.30	     61.7	     5.47	                TRUE	 TRUE	FALSE	FALSE	2.090e-15	1.881e-15	2.299e-15	         	         	         
    76.84	 2CXO J095538.0+694029	 09 55 38.07	+69 40 29.41	   0.29	     0.29	     47.8	    21.70	                TRUE	 TRUE	FALSE	FALSE	4.437e-14	4.306e-14	4.560e-14	         	         	         
    78.02	 2CXO J095537.4+694045	 09 55 37.45	+69 40 45.63	   0.33	     0.32	     53.7	     3.31	                TRUE	 TRUE	FALSE	FALSE	8.677e-16	6.198e-16	1.116e-15	         	         	         
    78.16	 2CXO J095556.8+693932	 09 55 56.88	+69 39 32.29	   0.84	     0.60	     53.9	     3.59	                TRUE	 TRUE	FALSE	FALSE	2.680e-15	1.903e-15	3.418e-15	         	         	         
    84.22	 2CXO J095605.3+694137	 09 56 05.34	+69 41 37.70	   0.59	     0.48	    117.9	     2.53	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	8.892e-16	         	         	         
    96.97	 2CXO J095608.0+694139	 09 56 08.06	+69 41 39.66	   0.29	     0.29	     93.2	    23.04	                TRUE	 TRUE	FALSE	FALSE	4.277e-14	4.178e-14	4.375e-14	         	         	         
    98.62	 2CXO J095540.9+693928	 09 55 40.93	+69 39 28.61	   0.30	     0.29	     60.7	    12.05	                TRUE	 TRUE	FALSE	FALSE	1.801e-14	1.696e-14	1.900e-14	         	         	         
    98.71	 2CXO J095533.5+694052	 09 55 33.50	+69 40 52.04	   0.32	     0.31	     35.9	     4.00	                TRUE	 TRUE	FALSE	FALSE	3.151e-15	2.638e-15	3.631e-15	         	         	         
   107.98	 2CXO J095543.7+694225	 09 55 43.76	+69 42 25.02	   1.47	     0.70	     74.3	     4.81	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	2.295e-16	         	         	         
   109.85	 2CXO J095531.7+694024	 09 55 31.79	+69 40 24.51	   0.41	     0.35	     13.5	     3.29	                TRUE	 TRUE	FALSE	FALSE	1.258e-15	7.151e-16	1.775e-15	         	         	         
   111.73	 2CXO J095540.8+693913	 09 55 40.80	+69 39 13.07	   0.42	     0.38	     56.6	     3.09	                TRUE	 TRUE	FALSE	FALSE	9.899e-16	7.487e-16	1.231e-15	         	         	         
   113.83	 2CXO J095532.4+694000	 09 55 32.45	+69 40 00.96	   0.46	     0.45	      6.3	     3.58	                    	 TRUE	FALSE	FALSE	5.496e-16	3.067e-16	7.924e-16	         	         	         
   113.95	 2CXO J095534.2+693943	 09 55 34.29	+69 39 43.30	   0.32	     0.31	     42.1	     4.78	                TRUE	 TRUE	FALSE	FALSE	4.402e-15	3.737e-15	5.017e-15	         	         	         
   117.99	 2CXO J095531.8+693957	 09 55 31.88	+69 39 57.41	   0.30	     0.30	     56.9	    15.37	                TRUE	 TRUE	FALSE	FALSE	4.172e-15	3.701e-15	4.644e-15	         	         	         
   123.19	 2CXO J095529.0+694027	 09 55 29.09	+69 40 27.13	   0.30	     0.30	     44.2	     8.65	                TRUE	 TRUE	FALSE	FALSE	7.751e-15	7.277e-15	8.195e-15	         	         	         
   128.09	 2CXO J095555.6+693839	 09 55 55.62	+69 38 39.92	   0.39	     0.36	     28.4	     3.26	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	2.646e-16	         	         	         
   130.37	 2CXO J095615.1+693951	 09 56 15.11	+69 39 51.86	   0.31	     0.31	    136.8	     5.73	                TRUE	 TRUE	FALSE	FALSE	4.236e-15	3.599e-15	4.835e-15	         	         	         
   130.53	 2CXO J095613.5+693937	 09 56 13.59	+69 39 37.12	   0.32	     0.31	    105.7	     4.41	                TRUE	 TRUE	FALSE	FALSE	1.664e-15	1.431e-15	1.881e-15	         	         	         
   131.19	 2CXO J095527.2+694050	 09 55 27.25	+69 40 50.08	   0.56	     0.37	     88.9	     3.31	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	3.510e-16	         	         	         
   131.27	 2CXO J095615.2+694142	 09 56 15.28	+69 41 42.42	   0.48	     0.36	    131.9	     4.63	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.521e-16	         	         	         
   132.27	 2CXO J095616.6+694006	 09 56 16.63	+69 40 06.97	   0.45	     0.37	    114.6	     3.15	                TRUE	 TRUE	FALSE	FALSE	1.118e-15	8.388e-16	1.398e-15	         	         	         
   138.37	 2CXO J095539.3+693846	 09 55 39.33	+69 38 46.59	   1.80	     1.18	     25.3	     3.03	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	2.659e-16	         	         	         
